,0
0,Jon Jones
1,Khabib Nurmagomedov
2,Stipe Miocic
3,Israel Adesanya
4,Daniel Cormier
5,Kamaru Usman
6,Alexander Volkanovski
7,Conor McGregor
8,Max Holloway
9,Justin Gaethje
10,Dustin Poirier
11,Tony Ferguson
12,Robert Whittaker
13,Francis Ngannou
14,Dominick Reyes
15,Deiveson Figueiredo
16,Joseph Benavidez
17,Brandon Moreno
18,Jussier Formiga
19,Alexandre Pantoja
20,Askar Askarov
21,Kai Kara France
22,Rogerio Bontorin
23,Alex Perez
24,Matt Schnell
25,Brandon Royval
26,Tim Elliott
27,Jordan Espinosa
28,Raulian Paiva
29,David Dvorak
30,Marlon Moraes
31,Aljamain Sterling
32,Petr Yan
33,Cory Sandhagen
34,Raphael Assuncao
35,Jose Aldo
36,Pedro Munhoz
37,Jimmie Rivera
38,Cody Garbrandt
39,Rob Font
40,Dominick Cruz
41,Cody Stamann
42,John Dodson
43,Song Yadong
44,Marlon Vera
45,Alexander Volkanovski
46,Max Holloway
47,Brian Ortega
48,Zabit Magomedsharipov
49,Chan Sung Jung
50,Yair Rodriguez
51,Calvin Kattar
52,Frankie Edgar
53,Josh Emmett
54,Jeremy Stephens
55,Shane Burgos
56,Dan Ige
57,Arnold Allen
58,Jose Aldo
59,Ryan Hall
60,Sodiq Yusuff
61,Khabib Nurmagomedov
62,Justin Gaethje
63,Tony Ferguson
64,Dustin Poirier
65,Conor McGregor
66,Dan Hooker
67,Paul Felder
68,Charles Oliveira
69,Kevin Lee
70,Al Iaquinta
71,Diego Ferreira
72,Gregor Gillespie
73,Donald Cerrone
74,Islam Makhachev
75,Beneil Dariush
76,Drew Dober
77,Kamaru Usman
78,Gilbert Burns
79,Colby Covington
80,Jorge Masvidal
81,Tyron Woodley
82,Leon Edwards
83,Stephen Thompson
84,Demian Maia
85,Michael Chiesa
86,Rafael Dos Anjos
87,Nate Diaz
88,Geoff Neal
89,Robbie Lawler
90,Vicente Luque
91,Anthony Pettis
92,Conor McGregor
93,Israel Adesanya
94,Robert Whittaker
95,Paulo Costa
96,Jared Cannonier
97,Yoel Romero
98,Darren Till
99,Jack Hermansson
100,Kelvin Gastelum
101,Derek Brunson
102,Edmen Shahbazyan
103,Uriah Hall
104,Brad Tavares
105,Omari Akhmedov
106,Ian Heinisch
107,Antonio Carlos Junior
108,Krzysztof Jotko
109,Jon Jones
110,Dominick Reyes
111,Thiago Santos
112,Jan Blachowicz
113,Corey Anderson
114,Glover Teixeira
115,Anthony Smith
116,Volkan Oezdemir
117,Alexander Gustafsson
118,Aleksandar Rakic
119,Nikita Krylov
120,Johnny Walker
121,Misha Cirkunov
122,Ryan Spann
123,Magomed Ankalaev
124,Mauricio Rua
125,Stipe Miocic
126,Daniel Cormier
127,Francis Ngannou
128,Curtis Blaydes
129,Derrick Lewis
130,Junior Dos Santos
131,Jairzinho Rozenstruik
132,Alexander Volkov
133,Alistair Overeem
134,Walt Harris
135,Augusto Sakai
136,Aleksei Oleinik
137,Shamil Abdurakhimov
138,Sergei Pavlovich
139,Fabricio Werdum
140,Blagoy Ivanov
141,Amanda Nunes
142,Weili Zhang
143,Valentina Shevchenko
144,Jessica Andrade
145,Joanna Jedrzejczyk
146,Rose Namajunas
147,Tatiana Suarez
148,Holly Holm
149,Germaine de Randamie
150,Aspen Ladd
151,Katlyn Chookagian
152,Jessica Eye
153,Claudia Gadelha
154,Julianna Peña
155,Nina Ansaroff
156,Weili Zhang
157,Jessica Andrade
158,Rose Namajunas
159,Tatiana Suarez
160,Joanna Jedrzejczyk
161,Nina Ansaroff
162,Claudia Gadelha
163,Carla Esparza
164,Michelle Waterson
165,Marina Rodriguez
166,Cynthia Calvillo
167,Yan Xiaonan
168,Tecia Torres
169,Alexa Grasso
170,Felice Herrig
171,Amanda Ribas
172,Valentina Shevchenko
173,Jessica Eye
174,Katlyn Chookagian
175,Joanne Calderwood
176,Jennifer Maia
177,Roxanne Modafferi
178,Lauren Murphy
179,Viviane Araujo
180,Andrea Lee
181,Maycee Barber
182,Alexis Davis
183,Montana De La Rosa
184,Antonina Shevchenko
185,Ji Yeon Kim
186,Molly McCann
187,Cortney Casey
188,Amanda Nunes
189,Germaine de Randamie
190,Holly Holm
191,Aspen Ladd
192,Julianna Peña
193,Irene Aldana
194,Raquel Pennington
195,Ketlen Vieira
196,Yana Kunitskaya
197,Sara McMann
198,Marion Reneau
199,Lina Lansberg
200,Macy Chiasson
201,Bethe Correia
202,Sijara Eubanks
203,Nicco Montano
204,Amanda Nunes
